MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Mother: Mazâ,(2020),drama thriller,6.8,"Akiko (Masami Nagasawa) is a single mother and her son is Shuhei (Sho Gunji). Akiko casually has sex with other men, including Ryo (Sadao Abe). Akiko is the only person whom Shuhei can rely on. One day, Shuhei makes a shocking decision.","Director: Tatsushi Ohmori | Stars: Masami Nagasawa, Sadao Abe, Halo Asada, Sho Gunji",2098,126,0.0,2020,Tatsushi Ohmori,Masami Nagasawa Sadao Abe Halo Asada Sho Gunji,"mother: mazâ drama thriller akiko (masami nagasawa) is a single mother and her son is shuhei (sho gunji). akiko casually has sex with other men, including ryo (sadao abe). akiko is the only person whom shuhei can rely on. one day, shuhei makes a shocking decision. tatsushi ohmori masami nagasawa sadao abe halo asada sho gunji"
Truth or Dare,(II) (2012),horror mystery,5.6,"Young British boys and girls travel to an isolated cabin after being promised a night of heavy partying. Instead of the fun they hoped for, they meet a killer out to reap vengeance on them for the death of his brother.","Director: Robert Heath | Stars: Tom Kane, Liam Boyle, Jack Gordon, Florence Hall",8980,96,0.0,2012,Robert Heath,Tom Kane Liam Boyle Jack Gordon Florence Hall,"truth or dare horror mystery young british boys and girls travel to an isolated cabin after being promised a night of heavy partying. instead of the fun they hoped for, they meet a killer out to reap vengeance on them for the death of his brother. robert heath tom kane liam boyle jack gordon florence hall"
The Healing Powers of Dude,(2020– ),short action adventure,6.6,"Noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named Dude, a sarcastic emotional support dog who might need Noah as much as Noah needs him.","Stars: Jace Chapman, Larisa Oleynik, Mauricio Lara, Sophie Kim",735,25,0.0,2020,,Jace Chapman Larisa Oleynik Mauricio Lara Sophie Kim,"the healing powers of dude short action adventure noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named dude, a sarcastic emotional support dog who might need noah as much as noah needs him. jace chapman larisa oleynik mauricio lara sophie kim"
13 Geboden,(2017–2018),crime mystery thriller,7.0,A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,"Stars: Dirk van Dijck, Marie Vinck, Karlijn Sileghem, Line Pillet",2093,46,0.0,2017,,Dirk van Dijck Marie Vinck Karlijn Sileghem Line Pillet,13 geboden crime mystery thriller a serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes. dirk van dijck marie vinck karlijn sileghem line pillet
The Titan Games,(2019– ),reality-tv,7.0,"Dwayne Johnson presents and stars in ""The Titan Games,"" a groundbreaking new athletic competition based on Dwayne's belief that within each and every one of us is the potential for greatness.","Stars: Dwayne Johnson, Cari Champion, Ben Afuvai, Kim Rosen",3261,60,0.0,2019,,Dwayne Johnson Cari Champion Ben Afuvai Kim Rosen,"the titan games reality-tv dwayne johnson presents and stars in ""the titan games,"" a groundbreaking new athletic competition based on dwayne's belief that within each and every one of us is the potential for greatness. dwayne johnson cari champion ben afuvai kim rosen"
St. Agatha,(2018),horror thriller,4.9,"In the 1950s in small-town Georgia, a pregnant young woman named Agatha seeks refuge in a convent.","Director: Darren Lynn Bousman | Stars: Sabrina Kern, Carolyn Hennesy, Courtney Halverson, Lindsay Seim",4873,103,0.0,2018,Darren Lynn Bousman,Sabrina Kern Carolyn Hennesy Courtney Halverson Lindsay Seim,"st. agatha horror thriller in the 1950s in small-town georgia, a pregnant young woman named agatha seeks refuge in a convent. darren lynn bousman sabrina kern carolyn hennesy courtney halverson lindsay seim"
The King's Avatar,(2019),action adventure fantasy,8.2,"Ye Xiu (Yang Yang) is a well known top tier player in an online game Glory. After forcefully expelled out of his professional team, he was employed in an Internet Cafe as an odd-job worker.","Stars: Yang Yang, Shuying Jiang, Daisy Li, Leon Lai Yi",826,45,0.0,2019,,Yang Yang Shuying Jiang Daisy Li Leon Lai Yi,"the king's avatar action adventure fantasy ye xiu (yang yang) is a well known top tier player in an online game glory. after forcefully expelled out of his professional team, he was employed in an internet cafe as an odd-job worker. yang yang shuying jiang daisy li leon lai yi"
Alien Worlds,(2020),documentary animation sci-fi,6.5,"Applying the laws of life on Earth to rest of the galaxy, this series blends science facts and fiction to imagine alien life on other planets.","Stars: Sophie Okonedo, Leigh Joel Scott, Vahe Alaverdian, Stuart Armstrong",3006,0,0.0,2020,,Sophie Okonedo Leigh Joel Scott Vahe Alaverdian Stuart Armstrong,"alien worlds documentary animation sci-fi applying the laws of life on earth to rest of the galaxy, this series blends science facts and fiction to imagine alien life on other planets. sophie okonedo leigh joel scott vahe alaverdian stuart armstrong"
Transformers: Robots in Disguise,(2014–2020),animation action adventure,5.9,"When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes.","Stars: Khary Payton, Mitchell Whitfield, Will Friedle, Constance Zimmer",930,22,0.0,2014,,Khary Payton Mitchell Whitfield Will Friedle Constance Zimmer,"transformers: robots in disguise animation action adventure when a new army of decepticons appear, bumblebee must lead a new team of autobots to earth against their eternal foes. khary payton mitchell whitfield will friedle constance zimmer"
The Holiday Movies that Made Us,(2020– ),documentary family,7.1,"Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks.","Stars: Phe Caplan, David Berenbaum, Ian Nathan, Jon Berg",725,44,0.0,2020,,Phe Caplan David Berenbaum Ian Nathan Jon Berg,"the holiday movies that made us documentary family unwrap the real stories behind these iconic christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks. phe caplan david berenbaum ian nathan jon berg"
