MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Blood Red Sky,(2021),action horror thriller,6.1,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"Director: Peter Thorwarth | Stars: Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti",21062,121,0.0,2021,Peter Thorwarth,Peri Baumeister Carl Anton Koch Alexander Scheer Kais Setti,blood red sky action horror thriller a woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight. peter thorwarth peri baumeister carl anton koch alexander scheer kais setti
Masters of the Universe: Revelation,(2021– ),animation action adventure,5.0,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars: Chris Wood, Sarah Michelle Gellar, Lena Headey, Mark Hamill",17870,25,0.0,2021,,Chris Wood Sarah Michelle Gellar Lena Headey Mark Hamill,masters of the universe: revelation animation action adventure the war for eternia begins again in what may be the final battle between he-man and skeletor. a new animated series from writer-director kevin smith. chris wood sarah michelle gellar lena headey mark hamill
The Walking Dead,(2010–2022),drama horror thriller,8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Stars: Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",885805,44,0.0,2010,,Andrew Lincoln Norman Reedus Melissa McBride Lauren Cohan,the walking dead drama horror thriller sheriff deputy rick grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive. andrew lincoln norman reedus melissa mcbride lauren cohan
Rick and Morty,(2013– ),animation adventure comedy,9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Stars: Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",414849,23,0.0,2013,,Justin Roiland Chris Parnell Spencer Grammer Sarah Chalke,rick and morty animation adventure comedy an animated series that follows the exploits of a super scientist and his not-so-bright grandson. justin roiland chris parnell spencer grammer sarah chalke
Army of Thieves,(2021),action crime horror,0.0,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","Director: Matthias Schweighöfer | Stars: Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin",0,0,0.0,2021,Matthias Schweighöfer,Matthias Schweighöfer Nathalie Emmanuel Ruby O. Fee Stuart Martin,"army of thieves action crime horror a prequel, set before the events of army of the dead, which focuses on german safecracker ludwig dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse. matthias schweighöfer matthias schweighöfer nathalie emmanuel ruby o. fee stuart martin"
Outer Banks,(2020– ),action crime drama,7.6,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,"Stars: Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss",25858,50,0.0,2020,,Chase Stokes Madelyn Cline Madison Bailey Jonathan Daviss,outer banks action crime drama a group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret. chase stokes madelyn cline madison bailey jonathan daviss
The Last Letter from Your Lover,(2021),drama romance,6.8,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,"Director: Augustine Frizzell | Stars: Shailene Woodley, Joe Alwyn, Wendy Nottingham, Felicity Jones",5283,110,0.0,2021,Augustine Frizzell,Shailene Woodley Joe Alwyn Wendy Nottingham Felicity Jones,the last letter from your lover drama romance a pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965. augustine frizzell shailene woodley joe alwyn wendy nottingham felicity jones
Dexter,(2006–2013),crime drama mystery,8.6,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Stars: Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",665387,53,0.0,2006,,Michael C. Hall Jennifer Carpenter David Zayas James Remar,"dexter crime drama mystery by day, mild-mannered dexter is a blood-spatter analyst for the miami police. but at night, he is a serial killer who only targets other murderers. michael c. hall jennifer carpenter david zayas james remar"
Never Have I Ever,(2020– ),comedy,7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","Stars: Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe",34530,30,0.0,2020,,Maitreyi Ramakrishnan Poorna Jagannathan Darren Barnet John McEnroe,"never have i ever comedy the complicated life of a modern-day first generation indian american teenage girl, inspired by mindy kaling's own childhood. maitreyi ramakrishnan poorna jagannathan darren barnet john mcenroe"
Virgin River,(2019– ),drama romance,7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","Stars: Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Tim Matheson",27279,44,0.0,2019,,Alexandra Breckenridge Martin Henderson Colin Lawrence Tim Matheson,"virgin river drama romance seeking a fresh start, nurse practitioner melinda monroe moves from los angeles to a remote northern california town and is surprised by what and who she finds. alexandra breckenridge martin henderson colin lawrence tim matheson"
Gunpowder Milkshake,(2021),action adventure thriller,6.0,Three generations of women fight back against those who could take everything from them.,"Director: Navot Papushado | Stars: Karen Gillan, Lena Headey, Carla Gugino, Michelle Yeoh",17989,114,0.0,2021,Navot Papushado,Karen Gillan Lena Headey Carla Gugino Michelle Yeoh,gunpowder milkshake action adventure thriller three generations of women fight back against those who could take everything from them. navot papushado karen gillan lena headey carla gugino michelle yeoh
Lucifer,(2016–2021),crime drama fantasy,8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Stars: Tom Ellis, Lesley-Ann Brandt, Lauren German, D.B. Woodside",264222,42,0.0,2016,,Tom Ellis Lesley-Ann Brandt Lauren German D.B. Woodside,lucifer crime drama fantasy lucifer morningstar has decided he's had enough of being the dutiful servant in hell and decides to spend some time on earth to better understand humanity. he settles in los angeles - the city of angels. tom ellis lesley-ann brandt lauren german d.b. woodside
Fear Street: 1994,(2021),drama horror mystery,6.2,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,"Director: Leigh Janiak | Stars: Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr., Julia Rehwald",50148,107,0.0,2021,Leigh Janiak,Kiana Madeira Olivia Scott Welch Benjamin Flores Jr. Julia Rehwald,fear street: 1994 drama horror mystery a circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. welcome to shadyside. leigh janiak kiana madeira olivia scott welch benjamin flores jr. julia rehwald
Sex/Life,(2021– ),comedy drama romance,5.4,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,"Stars: Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette",12172,0,0.0,2021,,Sarah Shahi Mike Vogel Adam Demos Margaret Odette,sex/life comedy drama romance a suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past. sarah shahi mike vogel adam demos margaret odette
American Horror Story,(2011– ),drama horror thriller,8.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","Stars: Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson",286488,60,0.0,2011,,Lady Gaga Kathy Bates Angela Bassett Sarah Paulson,"american horror story drama horror thriller an anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp. lady gaga kathy bates angela bassett sarah paulson"
Grey's Anatomy,(2005– ),drama romance,7.5,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"Stars: Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",266258,41,0.0,2005,,Ellen Pompeo Chandra Wilson James Pickens Jr. Justin Chambers,grey's anatomy drama romance a drama centered on the personal and professional lives of five surgical interns and their supervisors. ellen pompeo chandra wilson james pickens jr. justin chambers
Breaking Bad,(2008–2013),crime drama thriller,9.4,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Stars: Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",1552311,49,0.0,2008,,Bryan Cranston Aaron Paul Anna Gunn Betsy Brandt,breaking bad crime drama thriller a high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future. bryan cranston aaron paul anna gunn betsy brandt
The Good Doctor,(2017– ),drama,8.1,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","Stars: Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas",70871,41,0.0,2017,,Freddie Highmore Hill Harper Richard Schiff Antonia Thomas,"the good doctor drama shaun murphy, a young surgeon with autism and savant syndrome, is recruited into the surgical unit of a prestigious hospital. freddie highmore hill harper richard schiff antonia thomas"
Atypical,(2017–2021),comedy drama,8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","Stars: Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Michael Rapaport",71544,30,0.0,2017,,Jennifer Jason Leigh Keir Gilchrist Brigette Lundy-Paine Michael Rapaport,"atypical comedy drama sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets sam's mom on her own life-changing path as her son seeks more independence. jennifer jason leigh keir gilchrist brigette lundy-paine michael rapaport"
Stranger Things,(2016– ),drama fantasy horror,8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Stars: Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",885856,51,0.0,2016,,Millie Bobby Brown Finn Wolfhard Winona Ryder David Harbour,"stranger things drama fantasy horror when a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back. millie bobby brown finn wolfhard winona ryder david harbour"
Fear Street: 1978,(2021),drama horror mystery,6.8,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","Director: Leigh Janiak | Stars: Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye",36634,109,0.0,2021,Leigh Janiak,Sadie Sink Emily Rudd Ryan Simpkins McCabe Slye,"fear street: 1978 drama horror mystery shadyside, 1978. school's out for summer and the activities at camp nightwing are about to begin. but when another shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival. leigh janiak sadie sink emily rudd ryan simpkins mccabe slye"
Friends,(1994–2004),comedy romance,8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Stars: Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",880918,22,0.0,1994,,Jennifer Aniston Courteney Cox Lisa Kudrow Matt LeBlanc,friends comedy romance follows the personal and professional lives of six twenty to thirty-something-year-old friends living in manhattan. jennifer aniston courteney cox lisa kudrow matt leblanc
The Flash,(2014– ),action adventure drama,7.6,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Stars: Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",320264,43,0.0,2014,,Grant Gustin Candice Patton Danielle Panabaker Carlos Valdes,"the flash action adventure drama after being struck by lightning, barry allen wakes up from his coma to discover he's been given the power of super speed, becoming the next flash, fighting crime in central city. grant gustin candice patton danielle panabaker carlos valdes"
Peaky Blinders,(2013– ),crime drama,8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Stars: Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",393414,60,0.0,2013,,Cillian Murphy Paul Anderson Helen McCrory Sophie Rundle,"peaky blinders crime drama a gangster family epic set in 1900s england, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss tommy shelby. cillian murphy paul anderson helen mccrory sophie rundle"
He-Man and the Masters of the Universe,(2021– ),animation action adventure,0.0,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,0,0,0.0,2021,,,"he-man and the masters of the universe animation action adventure eternia's prince adam discovers the power of grayskull and transforms into he-man, master of the universe. a reimagining of the classic animated series."
Chernobyl,(2021),drama history romance,5.0,A story about a heroic fireman who worked as one of Chernobyl liquidators.,"Director: Danila Kozlovskiy | Stars: Danila Kozlovskiy, Oksana Akinshina, Filipp Avdeev, Ravshana Kurkova",4681,136,0.0,2021,Danila Kozlovskiy,Danila Kozlovskiy Oksana Akinshina Filipp Avdeev Ravshana Kurkova,chernobyl drama history romance a story about a heroic fireman who worked as one of chernobyl liquidators. danila kozlovskiy danila kozlovskiy oksana akinshina filipp avdeev ravshana kurkova
Vikings,(2013–2020),action adventure drama,8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Stars: Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",459913,44,0.0,2013,,Katheryn Winnick Gustaf Skarsgård Alexander Ludwig Georgia Hirst,"vikings action adventure drama vikings transports us to the brutal and mysterious world of ragnar lothbrok, a viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean. katheryn winnick gustaf skarsgård alexander ludwig georgia hirst"
Better Call Saul,(2015– ),crime drama,8.8,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Stars: Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",347857,46,0.0,2015,,Bob Odenkirk Rhea Seehorn Jonathan Banks Patrick Fabian,"better call saul crime drama the trials and tribulations of criminal lawyer jimmy mcgill in the time before he established his strip-mall law office in albuquerque, new mexico. bob odenkirk rhea seehorn jonathan banks patrick fabian"
Supernatural,(2005–2020),drama fantasy horror,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Stars: Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins",404273,44,0.0,2005,,Jared Padalecki Jensen Ackles Jim Beaver Misha Collins,"supernatural drama fantasy horror two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth. jared padalecki jensen ackles jim beaver misha collins"
The Blacklist,(2013– ),crime drama mystery,8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","Stars: James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold",213522,43,0.0,2013,,James Spader Megan Boone Diego Klattenhoff Ryan Eggold,"the blacklist crime drama mystery a new fbi profiler, elizabeth keen, has her entire life uprooted when a mysterious criminal, raymond reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her. james spader megan boone diego klattenhoff ryan eggold"
Fear Street: 1666,(2021),horror mystery,6.7,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,"Director: Leigh Janiak | Stars: Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch",27447,114,0.0,2021,Leigh Janiak,Kiana Madeira Ashley Zukerman Gillian Jacobs Olivia Scott Welch,fear street: 1666 horror mystery the origins of sarah fier's curse are finally revealed as history comes full circle on a night that changes the lives of shadysiders forever. leigh janiak kiana madeira ashley zukerman gillian jacobs olivia scott welch
Animal Kingdom,(2016– ),crime drama,8.2,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","Stars: Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole",26926,60,0.0,2016,,Shawn Hatosy Ben Robson Jake Weary Finn Cole,"animal kingdom crime drama centers on a southern california family, whose excessive lifestyle is fueled by their criminal activities. shawn hatosy ben robson jake weary finn cole"
Brooklyn Nine-Nine,(2013–2022),comedy crime,8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Stars: Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",248583,22,0.0,2013,,Andy Samberg Stephanie Beatriz Terry Crews Melissa Fumero,"brooklyn nine-nine comedy crime comedy series following the exploits of det. jake peralta and his diverse, lovable colleagues as they police the nypd's 99th precinct. andy samberg stephanie beatriz terry crews melissa fumero"
NCIS: Naval Criminal Investigative Service,(2003– ),action crime drama,7.7,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Stars: Mark Harmon, David McCallum, Sean Murray, Pauley Perrette",125619,60,0.0,2003,,Mark Harmon David McCallum Sean Murray Pauley Perrette,"ncis: naval criminal investigative service action crime drama the cases of the naval criminal investigative service's washington, d.c. major case response team, led by special agent leroy jethro gibbs. mark harmon david mccallum sean murray pauley perrette"
Kingdom,(2019– ),action drama history,8.4,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","Stars: Ju Ji-Hoon, Bae Doona, Kim Sungkyu, Hye-jun Kim",34906,45,0.0,2019,,Ju Ji-Hoon Bae Doona Kim Sungkyu Hye-jun Kim,"kingdom action drama history while strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land. ju ji-hoon bae doona kim sungkyu hye-jun kim"
Modern Family,(2009–2020),comedy drama romance,8.4,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"Stars: Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",378030,22,0.0,2009,,Ed O'Neill Sofía Vergara Julie Bowen Ty Burrell,modern family comedy drama romance three different but related families face trials and tribulations in their own uniquely comedic ways. ed o'neill sofía vergara julie bowen ty burrell
Titans,(I) (2018– ),action adventure crime,7.7,A team of young superheroes combat evil and other perils.,"Stars: Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter",73656,45,0.0,2018,,Brenton Thwaites Teagan Croft Anna Diop Ryan Potter,titans action adventure crime a team of young superheroes combat evil and other perils. brenton thwaites teagan croft anna diop ryan potter
The Witcher,(2019– ),action adventure fantasy,8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Stars: Henry Cavill, Anna Shaffer, Freya Allan, Adjoa Andoh",336484,60,0.0,2019,,Henry Cavill Anna Shaffer Freya Allan Adjoa Andoh,"the witcher action adventure fantasy geralt of rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts. henry cavill anna shaffer freya allan adjoa andoh"
Downton Abbey,(2010–2015),drama romance,8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Stars: Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle",171804,58,0.0,2010,,Hugh Bonneville Phyllis Logan Elizabeth McGovern Brendan Coyle,downton abbey drama romance a chronicle of the lives of the british aristocratic crawley family and their servants in the early twentieth century. hugh bonneville phyllis logan elizabeth mcgovern brendan coyle
Shingeki no kyojin,(2013–2022),animation action adventure,9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars: Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa",242582,24,0.0,2013,,Yûki Kaji Marina Inoue Josh Grelle Yui Ishikawa,"shingeki no kyojin animation action adventure after his hometown is destroyed and his mother is killed, young eren jaeger vows to cleanse the earth of the giant humanoid titans that have brought humanity to the brink of extinction. yûki kaji marina inoue josh grelle yui ishikawa"
Suits,(2011–2019),comedy drama,8.4,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","Stars: Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",374263,44,0.0,2011,,Gabriel Macht Patrick J. Adams Meghan Markle Sarah Rafferty,"suits comedy drama on the run from a drug deal gone bad, brilliant college dropout mike ross finds himself working with harvey specter, one of new york city's best lawyers. gabriel macht patrick j. adams meghan markle sarah rafferty"
La casa de papel,(2017–2021),action crime mystery,8.3,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"Stars: Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",341858,70,0.0,2017,,Úrsula Corberó Álvaro Morte Itziar Ituño Pedro Alonso,la casa de papel action crime mystery an unusual group of robbers attempt to carry out the most perfect robbery in spanish history - stealing 2.4 billion euros from the royal mint of spain. úrsula corberó álvaro morte itziar ituño pedro alonso
Schitt's Creek,(2015–2020),comedy,8.5,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","Stars: Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy",90728,22,0.0,2015,,Eugene Levy Catherine O'Hara Dan Levy Annie Murphy,"schitt's creek comedy when rich video-store magnate johnny rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in schitt's creek. eugene levy catherine o'hara dan levy annie murphy"
Outlander,(2014– ),drama fantasy romance,8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Stars: Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton",134991,64,0.0,2014,,Caitriona Balfe Sam Heughan Duncan Lacroix Sophie Skelton,outlander drama fantasy romance an english combat nurse from 1945 is mysteriously swept back in time to 1743. caitriona balfe sam heughan duncan lacroix sophie skelton
The Last Kingdom,(2015– ),action drama history,8.4,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","Stars: Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady",94650,60,0.0,2015,,Alexander Dreymon Eliza Butterworth Arnas Fedaravicius Millie Brady,"the last kingdom action drama history as alfred the great defends his kingdom from norse invaders, uhtred - born a saxon but raised by vikings - seeks to claim his ancestral birthright. alexander dreymon eliza butterworth arnas fedaravicius millie brady"
Black Mirror,(2011– ),drama sci-fi thriller,8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Stars: Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",469407,60,0.0,2011,,Daniel Lapaine Hannah John-Kamen Michaela Coel Beatrice Robertson-Jones,"black mirror drama sci-fi thriller an anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide. daniel lapaine hannah john-kamen michaela coel beatrice robertson-jones"
Ozark,(2017– ),crime drama thriller,8.4,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","Stars: Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",206090,60,0.0,2017,,Jason Bateman Laura Linney Sofia Hublitz Skylar Gaertner,"ozark crime drama thriller a financial advisor drags his family from chicago to the missouri ozarks, where he must launder money to appease a drug boss. jason bateman laura linney sofia hublitz skylar gaertner"
The Crown,(2016– ),biography drama history,8.6,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"Stars: Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",169517,58,0.0,2016,,Claire Foy Olivia Colman Imelda Staunton Matt Smith,the crown biography drama history follows the political rivalries and romance of queen elizabeth ii's reign and the events that shaped the second half of the twentieth century. claire foy olivia colman imelda staunton matt smith
Sweet Tooth,(2021– ),action adventure drama,7.9,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,"Stars: Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen",37142,0,0.0,2021,,Nonso Anozie Christian Convery Adeel Akhtar Stefania LaVie Owen,sweet tooth action adventure drama a boy who is half human and half deer survives in a post-apocalyptic world with other hybrids. nonso anozie christian convery adeel akhtar stefania lavie owen
Army of the Dead,(2021),action crime horror,5.8,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Director: Zack Snyder | Stars: Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick",132378,148,0.0,2021,Zack Snyder,Dave Bautista Ella Purnell Ana de la Reguera Omari Hardwick,"army of the dead action crime horror following a zombie outbreak in las vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted. zack snyder dave bautista ella purnell ana de la reguera omari hardwick"
Fargo,(2014– ),crime drama thriller,8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Stars: Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",341221,53,0.0,2014,,Billy Bob Thornton Martin Freeman Allison Tolman Colin Hanks,"fargo crime drama thriller various chronicles of deception, intrigue and murder in and around frozen minnesota. yet all of these tales mysteriously lead back one way or another to fargo, north dakota. billy bob thornton martin freeman allison tolman colin hanks"
How I Met Your Mother,(2005–2014),comedy romance,8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Stars: Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",624036,22,0.0,2005,,Josh Radnor Jason Segel Cobie Smulders Neil Patrick Harris,how i met your mother comedy romance a father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother. josh radnor jason segel cobie smulders neil patrick harris
Community,(2009–2015),comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Stars: Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",231013,22,0.0,2009,,Joel McHale Danny Pudi Donald Glover Chevy Chase,community comedy a suspended lawyer is forced to enroll in a community college with an eccentric staff and student body. joel mchale danny pudi donald glover chevy chase
Sons of Anarchy,(2008–2014),crime drama thriller,8.5,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Stars: Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",270445,45,0.0,2008,,Charlie Hunnam Katey Sagal Mark Boone Junior Kim Coates,sons of anarchy crime drama thriller a biker struggles to balance being a father and being involved in an outlaw motorcycle club. charlie hunnam katey sagal mark boone junior kim coates
StartUp,(2016–2018),crime thriller,7.9,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","Stars: Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza",22971,44,0.0,2016,,Adam Brody Edi Gathegi Otmara Marrero Kristen Ariza,"startup crime thriller a desperate banker, a haitian-american gang lord and a cuban-american hacker are forced to work together to unwittingly create their version of the american dream - organized crime 2.0. adam brody edi gathegi otmara marrero kristen ariza"
The Vampire Diaries,(2009–2017),drama fantasy horror,7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Stars: Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",293434,43,0.0,2009,,Nina Dobrev Paul Wesley Ian Somerhalder Kat Graham,"the vampire diaries drama fantasy horror the lives, loves, dangers and disasters in the town, mystic falls, virginia. creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers. nina dobrev paul wesley ian somerhalder kat graham"
